location_name,latitude,longitude
Marcelo,14.47577,121.044701
Harrison,14.559952,120.989601
Tayuman,14.61671,120.982903
Imus,14.423159,120.942307
Antip1Cir,14.58095,121.176018
Bangkal,14.539614,121.012436
San Pedro1,14.36692,121.051437
Meycauayan2,14.737164,120.960991
San Pedro2,14.362924,121.057526
Cavite City,14.47971,120.897987
Ylaya,14.60716,120.967087
Dasma1,14.32666,120.935951
Balibago,14.29592,121.105553
Blumentrit2,14.62499,120.987267
Hermosa,14.631975,120.98037
Kabihasnan,14.49214,120.987923
Galas,14.61217,121.008591
Lower Bicutan,14.48874,121.060738
Tamaraw Hills,14.678682,120.980034
Cabuyao,14.27722,121.123352
Chico,14.632452,121.059959
Molino1,14.39814,120.977608
San Pablo1,14.069392,121.325829
Dasma2,14.32665,120.9403
Molino2,14.42623,120.975128
Salinas,14.41482,120.856239
GMA,14.3026,120.998619
Binan2,14.333132,121.081825
Balagtas,14.81769,120.90654
Pulang Lupa,14.47316,120.976608
BF Resort,14.444459,120.993568
Parang,14.65981,121.113037
JP Ramoy,14.685899,121.023987
Cainta Church,14.57697,121.116783
Tatlong Hari,14.31491,121.112289
Los Banos,14.17838,121.242073
Binakayan,14.449738,120.923248
Lipa Highway,13.94245,121.152794
Trece,14.28211,120.868637
Molave Marikina,14.65104,121.111809
Panapaan,14.44558,120.952454
Apalit,14.950261,120.758934
San Pedro 3,14.34349,121.05825
Lipa Proper,13.941609,121.163261
Camarin,14.755965,121.043777
Tanza,14.40009,120.85733
Rev. Aglipay,14.586309,121.025764
Naic,14.31954,120.764481
Shorthorn,14.668374,121.02034
